mep_id,meeting_id,topic,time,location,committee,rapporteur,lobbyist
124726,159,Education policy,06-11-2019,"EP, Brussels",,Member,Akava
124726,160,Health policy,28-10-2019,"Doctrates, Helsinki",,Member,Docrates
124726,161,Mobility Package,23-10-2019,"EP, Strasbourg",TRAN,Rapporteur - Mobility Package,Permanent Representation of Finland to the EU
124726,162,Mobility Package,22-10-2019,"EP, Strasbourg",TRAN,Rapporteur - Mobility Package,PO
124726,162,Mobility Package,22-10-2019,"EP, Strasbourg",TRAN,Rapporteur - Mobility Package,CZ
124726,162,Mobility Package,22-10-2019,"EP, Strasbourg",TRAN,Rapporteur - Mobility Package,SL & SK Permanent Representations to the EU
124726,163,Forest industry,16-10-2019,"EP, Brussels",,Member,Metsäteollisuus
124726,164,Education policy,15-10-2019,"EP, Brussels",,Member,SYL+SAMOK
124726,165,Health policy,15-10-2019,"EP, Brussels",,Member,Lääketeollisuus
124726,166,Mobility Package,10-10-2019,"EP, Brussels",,Member,Länsi-Suomen kuljetusyrittäjät
124726,167,Energy policy,08-10-2019,"EP, Brussels",,Member,DG Ener
124726,168,Energy policy,08-10-2019,"EP, Brussels",,Member,Nordenergi
124726,169,Mobility Package,08-10-2019,"EP, Brussels",TRAN,Rapporteur - Mobility Package,French Road Haulage Association
124726,170,Energy policy,01-10-2019,"EP, Brussels",,Member,Parkkisähkö
124726,171,Future of work,01-10-2019,"EP, Brussels",,Member,EK
124726,171,Future of work,01-10-2019,"EP, Brussels",,Member,Kemianteollisuus
124726,171,Future of work,01-10-2019,"EP, Brussels",,Member,Sivistystyönantajat
124726,171,Future of work,01-10-2019,"EP, Brussels",,Member,Palta
124726,172,Mobility Package,01-10-2019,"EP, Brussels",TRAN,Rapporteur - Mobility Package,IRU
124726,173,SME Strategy,01-10-2019,"EP, Brussels",,Member,Suomen Yrittäjät
124726,174,Mobility Package,26-09-2019,"EP, Brussels",TRAN,Rapporteur - Mobility Package,IRU
124726,175,Tyres Labelling,26-09-2019,"EP, Brussels",ITRE,Rapporteur - Tyres Labelling,EESC
124726,176,Tyres Labelling,26-09-2019,"EP, Brussels",ITRE,Rapporteur - Tyres Labelling,DG ENER
124726,177,Food industry,25-09-2019,"EP, Brussels",,Member,EK/SKAL
124726,178,Technology policy,25-09-2019,"EP, Brussels",,Member,Biotech
124726,179,Tyres Labelling,25-09-2019,"EP, Brussels",ITRE,Rapporteur - Tyres Labelling,Permanent Representation of Finland to the EU
124726,180,Forest industry,24-09-2019,"EP, Brussels",,Member,MetsÃ¤group
124726,181,Mobility Package,23-09-2019,"EP, Brussels",TRAN,Rapporteur - Mobility package,Permanent Representation of Bulgaria to the EU
124726,182,Agriculture,17-09-2019,"EP, Strasbourg",,Member,MTK
124726,183,Current EU affairs,17-09-2019,"EP, Strasbourg",,Member,EK
124726,184,Mobility Package,17-09-2019,"EP, Strasbourg",TRAN,Rapporteur - Mobility Package,Permanent Representation of Finland to the EU
124726,185,Mobility Package,17-09-2019,"EP, Strasbourg",TRAN,Rapporteur - Mobility package,Permanent representation of Czech Republic to the EU
124726,186,Mobility Package,16-09-2019,"EP, Strasbourg",TRAN,Rapporteur - Mobility Package,Permanent representation of Romania to the EU
124726,187,Transportation policy,13-09-2019,Helsinki,,Member,FIVA
124726,188,Aviation industry,12-09-2019,"Hotel Sofitel, Brussels",,Member,Finnair
124726,189,Digitalization of transport,12-09-2019,"EP, Brussels",,Member,MaaS
124726,190,Agriculture,10-09-2019,"Hotel Leopold, Brussels",,Member,MTK
124726,191,Current EU affairs,10-09-2019,"Restaurant Barbanera, Brussels",,Member,Itä- ja Pohjois-Suomen maakuntajohtajat
124726,192,Forest industry,05-09-2019,"EP, Brussels",,Member,UPM
124726,193,Mobility Package,05-09-2019,"EP, Brussels",TRAN,Rapporteur - Mobility package,Permanent Representation of Lithuania to the EU
124726,194,Research policy,23-07-2019,"Quartier Leopold, Brussels",,Member,MartensCentre
124726,195,Current EU affairs,17-07-2019,"EP, Strasbourg",,Member,Kaupan liitto
124726,196,Digital platforms,17-07-2019,"EP, Strasbourg",,Member,ETTSA
124726,197,Digital policy,17-07-2019,"EP, Strasbourg",,Member,DIGITALEUROPE
124726,198,Transportation policy,17-07-2019,"EP, Strasbourg",,Member,Fuels Europe
124726,199,European startups,10-07-2019,"EP, Brussels",,Member,Europe❤️Startups
124726,200,Food industry,10-07-2019,"EP, Brussels",,Member,SKAL
124726,201,Forest industry,10-07-2019,"EP, Brussels",,Member,Metsäteollisuus
124726,202,European startups,09-07-2019,"EP, Brussels",,Member,Europe❤️Startups
124726,203,Forest industry,03-07-2019,"EP, Strasbourg",,Member,Metsägroup
124726,204,Telecommunication,03-07-2019,"EP, Strasbourg",,Member,Qualcomm
